4533,14.50366,-91.31137,,
4535,14.51271,-91.31167,,
4536,14.49553,-91.30463,,
4711,14.85494,-91.53634,,
4667,14.86716,-91.56235,,
4530,14.79357,-91.18326,,
4595,14.77477,-91.18376,,
4641,14.44364,-91.1224,,
4655,14.744549,-91.154044,,
4525,14.533109,-91.682203,,
4547,14.53285,-91.68079,,
4705,14.579277,-91.585005,,
4545,14.6331,-91.41175,,
4573,14.32285,-91.25132,,
4709,14.419986,-91.163507,,
4482,14.59963,-90.52893,,
4531,14.55111,-90.52587,,
4561,14.53817,-90.52376,,
4636,14.583107,-90.522481,,
3770,14.561151,-90.499633,,
4061,14.55613,-90.52444,,
4635,14.58808,-90.53066,,
4707,14.54764,-90.52664,,
4591,14.60261,-90.5438,,
2272,14.583698,-90.543448,,
4632,14.6046,-90.53646,,
4585,14.58382,-90.54545,,
4584,14.58382,-90.54545,,
4588,14.58382,-90.54545,,
4687,14.569182,-90.549213,,
4654,14.58467,-90.55504,,
4717,14.606288,-90.538931,,
4718,14.55807,-90.54742,,
4519,14.51552,-90.57687,,
4361,14.53834,-90.55642,,
4254,14.52138,-90.54562,,
4646,14.50064,-90.5839,,
4724,14.51339,-90.57249,,
4550,14.517253,-90.608044,,
4544,14.46679,-90.63872,,
4540,14.47977,-90.6196,,
4541,14.48038,-90.62437,,
4542,14.48156,-90.62714,,
4571,14.54609,-90.61891,,
4329,14.48084,-90.61816,,
4328,14.47449,-90.62286,,
4232,14.48675,-90.62597,,
3817,14.484266,-90.615464,,
4422,14.53833,-90.60403,,
4645,14.48782,-90.62087,,
4637,14.59185,-90.45805,,
4656,14.62729,-90.49593,,
4694,14.59533,-90.46121,,
4481,14.5437,-90.41065,,
4548,14.52203,-90.46967,,
4152,14.55869,-90.46275,,
4176,14.55223,-90.4542,,
4708,14.53697,-90.45142,,
4723,14.50294,-90.48016,,
4640,14.537374,-90.457597,,
4521,14.64938,-90.59576,,
4699,14.638295,-90.605115,,
4697,14.62871,-90.56499,,
4570,14.57287,-90.57496,,
4345,14.60839,-90.58911,,
4633,14.58372,-90.58215,,
4683,14.62187,-90.5491,,
4665,14.61998,-90.54681,,
66,14.649435,-90.583808,,
4526,14.65657,-90.5727,,
4590,14.64157,-90.58046,,
4026,14.650418,-90.584514,,
4334,14.654148,-90.577974,,
4146,14.69943,-90.5767,,
4698,14.65996,-90.5773,,
4684,14.65319,-90.587,,
4556,14.65692,-90.5429,,
4537,14.630489,-90.555339,,
4579,14.6817,-90.54644,,
4582,14.67065,-90.55467,,
3551,14.671322,-90.554436,,
1005,14.657574,-90.568104,,
4385,14.62682,-90.55133,,
4638,14.67843,-90.54657,,
4651,14.679458,-90.551744,,
4673,14.65923,-90.55973,,
4682,14.64482,-90.55801,,
4574,14.62842,-90.51569,,
4666,14.63024,-90.51154,,
4288,14.63769,-90.52406,,
4596,14.63882,-90.51743,,
4644,14.627665,-90.527052,,
4688,14.63143,-90.50633,,
4562,14.65814,-90.49136,,
4597,14.65874,-90.4937,,
4649,14.65962,-90.49517,,
4689,14.65794,-90.49101,,
4730,14.67992,-90.48832,,
4554,14.6158,-90.53761,,
4559,14.61126,-90.54267,,
4093,14.61404,-90.5345,,
4642,14.60852,-90.52677,,
4589,14.58508,-90.51773,,
4138,14.59056,-90.51096,,
4101,14.579467,-90.495026,,
4714,14.580235,-90.496593,,
4569,14.617946,-90.513734,,
4567,14.60969,-90.51934,,
4577,14.61175,-90.51588,,
4273,14.61525,-90.51595,,
4295,14.61396,-90.52172,,
4701,14.613401,-90.522901,,
493,14.600256,-90.513542,,
4379,14.59812,-90.51302,,
4643,14.60706,-90.51009,,
4677,14.59407,-90.51089,,
4715,14.59373,-90.51168,,
1294,14.595104,-90.512474,,
61,inactivo,inactivo,,
31,inactivo,inactivo,,
136,inactivo,inactivo,,
159,inactivo,inactivo,,
181,inactivo,inactivo,,
192,inactivo,inactivo,,
256,inactivo,inactivo,,
346,inactivo,inactivo,,
384,inactivo,inactivo,,
429,inactivo,inactivo,,
563,inactivo,inactivo,,
601,inactivo,inactivo,,
628,inactivo,inactivo,,
639,inactivo,inactivo,,
680,inactivo,inactivo,,
732,inactivo,inactivo,,
753,inactivo,inactivo,,
780,inactivo,inactivo,,
781,inactivo,inactivo,,
785,inactivo,inactivo,,
789,inactivo,inactivo,,
797,inactivo,inactivo,,
843,inactivo,inactivo,,
860,inactivo,inactivo,,
863,inactivo,inactivo,,
865,inactivo,inactivo,,
884,inactivo,inactivo,,
885,inactivo,inactivo,,
889,inactivo,inactivo,,
897,inactivo,inactivo,,
961,inactivo,inactivo,,
1045,inactivo,inactivo,,
1083,inactivo,inactivo,,
1149,inactivo,inactivo,,
1332,inactivo,inactivo,,
1396,inactivo,inactivo,,
1525,inactivo,inactivo,,
1530,inactivo,inactivo,,
1535,inactivo,inactivo,,
1550,inactivo,inactivo,,
1552,inactivo,inactivo,,
1951,inactivo,inactivo,,
2141,inactivo,inactivo,,
2289,inactivo,inactivo,,
2367,inactivo,inactivo,,
2468,inactivo,inactivo,,
2565,inactivo,inactivo,,
2569,inactivo,inactivo,,
2601,inactivo,inactivo,,
2670,inactivo,inactivo,,
2683,inactivo,inactivo,,
2711,inactivo,inactivo,,
2752,inactivo,inactivo,,
2858,inactivo,inactivo,,
2862,inactivo,inactivo,,
2870,inactivo,inactivo,,
2873,inactivo,inactivo,,
2910,inactivo,inactivo,,
2925,inactivo,inactivo,,
3031,inactivo,inactivo,,
3069,inactivo,inactivo,,
3129,inactivo,inactivo,,
3137,inactivo,inactivo,,
3138,inactivo,inactivo,,
3281,inactivo,inactivo,,
3354,inactivo,inactivo,,
3356,inactivo,inactivo,,
3392,inactivo,inactivo,,
3393,inactivo,inactivo,,
3461,inactivo,inactivo,,
3602,inactivo,inactivo,,
3734,inactivo,inactivo,,
4206,inactivo,inactivo,,
4209,inactivo,inactivo,,
4444,inactivo,inactivo,,
4154,inactivo,inactivo,,
4245,inactivo,inactivo,,
1123,inactivo,inactivo,,
3869,inactivo,inactivo,,
3663,inactivo,inactivo,,
3940,inactivo,inactivo,,
3810,inactivo,inactivo,,
4268,inactivo,inactivo,,
763,inactivo,inactivo,,
2913,inactivo,inactivo,,
3323,inactivo,inactivo,,
1762,inactivo,inactivo,,
4483,inactivo,inactivo,,
4484,inactivo,inactivo,,
784,inactivo,inactivo,,
878,inactivo,inactivo,,
1041,inactivo,inactivo,,
2227,inactivo,inactivo,,
1809,inactivo,inactivo,,
665,inactivo,inactivo,,
816,inactivo,inactivo,,
2022,inactivo,inactivo,,
2399,inactivo,inactivo,,
2855,inactivo,inactivo,,
4367,inactivo,inactivo,,
3885,inactivo,inactivo,,
4313,inactivo,inactivo,,
631,inactivo,inactivo,,
817,inactivo,inactivo,,
894,inactivo,inactivo,,
3363,inactivo,inactivo,,
4297,inactivo,inactivo,,
1043,inactivo,inactivo,,
7,inactivo,inactivo,,
2036,inactivo,inactivo,,
324,inactivo,inactivo,,
2674,inactivo,inactivo,,
1668,inactivo,inactivo,,
4263,inactivo,inactivo,,
571,inactivo,inactivo,,
223,inactivo,inactivo,,
1439,inactivo,inactivo,,
1568,inactivo,inactivo,,
1735,inactivo,inactivo,,
1799,inactivo,inactivo,,
1593,inactivo,inactivo,,
3433,inactivo,inactivo,,
4091,inactivo,inactivo,,
4149,inactivo,inactivo,,
4395,inactivo,inactivo,,
1729,inactivo,inactivo,,
1742,inactivo,inactivo,,
1863,inactivo,inactivo,,
1059,inactivo,inactivo,,
2414,inactivo,inactivo,,
2894,inactivo,inactivo,,
4421,inactivo,inactivo,,
4243,inactivo,inactivo,,
P668,inactivo,inactivo,,
4140,inactivo,inactivo,,
4532,inactivo,inactivo,,
4543,inactivo,inactivo,,
4575,inactivo,inactivo,,
4578,inactivo,inactivo,,
4598,inactivo,inactivo,,
4599,inactivo,inactivo,,
4260,inactivo,inactivo,,
4335,inactivo,inactivo,,
3247,inactivo,inactivo,,